,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Narsaq,0,GL,1545113730,63,60.91,-46.05,2.36,5.1
1,Upernavik,88,GL,1545113731,100,72.79,-56.15,18.47,10.92
2,Busselton,0,AU,1545113731,89,-33.64,115.35,70.45,11.81
3,Grand-Santi,80,GF,1545113731,100,4.27,-54.38,70.67,2.08
4,Iranshahr,0,IR,1545112800,13,27.21,60.69,68.0,6.93
5,Faruka,0,PK,1545113731,85,31.89,72.41,59.65,4.65
6,Tsogni,92,GA,1545113731,100,-2.79,10.1,75.71,4.76
7,Chara,90,GR,1545110400,93,39.42,22.43,39.2,16.11
8,Pevek,44,RU,1545113732,100,69.7,170.27,-20.5,9.01
9,Kaitangata,100,NZ,1545113732,100,-46.28,169.85,59.06,12.03
10,Kodiak,1,US,1545112500,84,39.95,-94.76,37.4,3.36
11,Mataura,100,NZ,1545113732,100,-46.19,168.86,59.24,11.03
12,Cape Town,75,ZA,1545109200,82,-33.93,18.42,68.0,17.22
13,High Level,0,CA,1545113732,92,58.52,-117.13,12.44,4.99
14,Abbotsford,90,CA,1545112500,68,49.05,-122.33,50.0,28.86
15,Arraial do Cabo,0,BR,1545113733,89,-22.97,-42.02,76.57,23.44
16,Puerto Ayora,20,EC,1545113733,100,-0.74,-90.35,74.5,6.78
17,Rikitea,100,PF,1545113733,100,-23.12,-134.97,76.75,4.09
18,Yarmouth,75,GB,1545112200,81,50.71,-1.5,51.8,19.46
19,Nikolskoye,90,RU,1545112800,92,59.7,30.79,21.2,6.71
20,Yellowknife,40,CA,1545109200,84,62.45,-114.38,5.0,10.29
21,Bredasdorp,0,ZA,1545112800,39,-34.53,20.04,78.8,25.28
22,Nanortalik,0,GL,1545113734,94,60.14,-45.24,24.19,4.76
23,Jamestown,44,AU,1545113734,41,-33.21,138.6,86.42,7.78
24,Tiznit,20,MA,1545113734,82,29.7,-9.73,53.08,4.21
25,Ambanja,75,MG,1545109200,83,-13.68,48.45,82.4,3.09
26,Dubti,0,ET,1545113735,58,11.74,41.09,71.53,5.1
27,Enshi,36,CN,1545113735,46,30.29,109.48,56.27,2.98
28,Kulhudhuffushi,12,MV,1545113735,100,6.62,73.07,83.23,11.81
29,Port Alfred,80,ZA,1545113735,89,-33.59,26.89,74.59,10.36
30,Iqaluit,90,CA,1545109860,85,63.75,-68.52,17.6,11.41
31,Ushuaia,40,AR,1545112800,87,-54.81,-68.31,44.6,23.04
32,Punta Arenas,90,CL,1545112800,76,-53.16,-70.91,48.2,11.41
33,Saint-Philippe,90,CA,1545112500,80,45.36,-73.48,19.4,8.05
34,Dingle,36,PH,1545113736,71,11.0,122.67,82.78,17.07
35,Tepalcatepec,20,MX,1545113736,86,19.19,-102.85,58.39,0.4
36,Victoria,75,BN,1545112800,70,5.28,115.24,87.8,4.7
37,Cayenne,75,GF,1545112800,94,4.94,-52.33,75.2,3.2
38,Pondicherry,75,ZA,1545112800,82,-34.04,18.35,68.0,19.46
39,Katsuura,75,JP,1545112800,76,33.93,134.5,53.6,11.41
40,Belmonte,44,PT,1545113738,93,40.36,-7.35,31.48,4.32
41,Mogadishu,0,SO,1545109200,69,2.04,45.34,80.6,14.99
42,Portland,90,US,1545112380,92,45.52,-122.67,48.02,13.87
